gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7444.0,7752.372000000001,7757.7,7615.8,7888.8200000000015,6922.0
1,7430.4,7732.114,7730.5,7585.686666666666,7880.1866666666665,6922.0
2,7407.0,7707.636000000001,7711.6,7564.386666666665,7849.913333333333,6922.0
3,7369.6,7672.358,7681.4,7531.7,7806.360000000001,6922.0
4,7356.2,7657.230000000001,7659.8,7517.139999999999,7797.106666666668,6922.0
5,7349.8,7638.178000000002,7642.4,7505.12,7772.3133333333335,6922.0
6,7329.4,7626.744000000001,7629.2,7484.673333333334,7766.780000000001,6922.0
7,7315.8,7595.812,7597.1,7452.293333333335,7741.7666666666655,6922.0
8,7313.0,7576.765999999999,7575.3,7438.160000000001,7720.539999999999,6922.0
9,7301.0,7553.4519999999975,7547.2,7415.126666666666,7698.693333333332,6922.0
10,7300.8,7536.735999999999,7523.9,7401.246666666666,7683.946666666668,6922.0
11,7300.2,7511.485999999999,7498.8,7379.966666666667,7657.426666666668,6922.0
12,7295.8,7492.139999999999,7483.7,7366.226666666665,7634.253333333334,6922.0
13,7282.4,7482.970000000001,7471.5,7362.326666666666,7618.746666666666,6922.0
14,7279.0,7466.648000000001,7448.9,7356.26,7598.153333333333,6922.0
15,7270.2,7456.07,7437.6,7351.1,7581.306666666666,6922.0
16,7267.8,7451.4000000000015,7440.4,7348.353333333335,7572.566666666666,6922.0
17,7250.6,7441.122,7426.7,7334.719999999999,7566.646666666666,6922.0
18,7247.6,7435.601999999999,7415.0,7331.606666666667,7563.926666666666,6922.0
19,7240.6,7429.776000000001,7413.4,7329.780000000002,7553.153333333333,6922.0
20,7240.6,7423.43,7409.3,7321.093333333333,7550.32,6922.0
21,7238.2,7412.428000000002,7399.8,7315.259999999999,7529.773333333333,6922.0
22,7238.2,7399.338000000002,7386.9,7309.873333333334,7504.4800000000005,6922.0
23,7224.6,7401.3279999999995,7387.2,7304.360000000002,7517.526666666668,6922.0
24,7218.8,7391.027999999998,7371.9,7296.9866666666685,7506.6866666666665,6922.0
25,7218.4,7387.639999999999,7376.8,7289.92,7498.860000000001,6922.0
26,7215.0,7379.914,7365.1,7281.546666666666,7497.879999999999,6922.0
27,7215.0,7372.9079999999985,7357.6,7274.393333333332,7492.180000000002,6922.0
28,7212.0,7365.124000000002,7344.7,7273.993333333334,7478.853333333333,6922.0
29,7211.0,7363.125999999999,7345.4,7268.813333333332,7482.293333333332,6922.0
