gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7441.4,7745.520000000001,7754.4,7600.393333333332,7884.92,6922.0
1,7423.0,7733.017999999999,7734.3,7591.793333333332,7873.720000000001,6922.0
2,7377.0,7701.410000000001,7703.0,7563.006666666666,7840.466666666665,6922.0
3,7369.4,7681.181999999999,7682.6,7545.486666666667,7817.3,6922.0
4,7350.4,7668.956,7675.4,7535.233333333333,7799.800000000001,6922.0
5,7346.0,7647.895999999999,7654.3,7507.566666666666,7785.133333333333,6922.0
6,7324.4,7629.69,7637.2,7492.546666666667,7761.053333333334,6922.0
7,7320.6,7614.687999999999,7619.1,7481.633333333333,7746.2733333333335,6922.0
8,7319.8,7603.389999999998,7604.2,7469.966666666667,7736.0199999999995,6922.0
9,7317.6,7592.752,7597.6,7458.786666666667,7722.653333333334,6922.0
10,7310.6,7571.156000000001,7575.4,7434.966666666665,7705.333333333333,6922.0
11,7304.6,7550.594,7546.5,7421.286666666667,7686.466666666667,6922.0
12,7302.0,7531.178000000002,7528.7,7412.780000000001,7656.279999999999,6922.0
13,7297.4,7518.502,7514.9,7404.973333333333,7642.4000000000015,6922.0
14,7293.4,7512.007999999999,7506.5,7399.68,7634.433333333334,6922.0
15,7292.8,7507.540000000001,7498.5,7403.026666666667,7626.120000000001,6922.0
16,7283.2,7500.506000000003,7491.9,7393.653333333333,7619.073333333332,6922.0
17,7280.4,7490.8679999999995,7479.5,7386.74,7609.56,6922.0
18,7277.4,7483.549999999998,7474.6,7377.540000000001,7599.479999999999,6922.0
19,7263.6,7481.803999999999,7473.8,7376.2666666666655,7597.660000000001,6922.0
20,7262.4,7475.139999999999,7470.6,7365.586666666667,7588.879999999999,6922.0
21,7256.8,7464.316000000001,7458.4,7351.446666666665,7587.133333333334,6922.0
22,7252.6,7461.340000000001,7455.1,7349.939999999998,7585.38,6922.0
23,7252.0,7455.450000000002,7442.2,7345.719999999998,7580.573333333334,6922.0
24,7252.0,7444.231999999999,7428.7,7338.2666666666655,7567.719999999999,6922.0
25,7245.4,7433.536,7420.9,7328.866666666666,7553.413333333333,6922.0
26,7244.0,7425.068000000001,7414.2,7322.286666666667,7544.406666666667,6922.0
27,7237.2,7415.936,7404.0,7316.4400000000005,7533.633333333333,6922.0
28,7237.2,7409.8460000000005,7393.4,7310.146666666666,7531.706666666668,6922.0
29,7236.6,7405.501999999999,7393.1,7312.533333333333,7517.293333333333,6922.0
30,7233.0,7396.997999999998,7386.0,7307.966666666665,7503.140000000001,6922.0
31,7232.6,7393.864,7377.6,7299.879999999999,7508.6799999999985,6922.0
32,7232.6,7388.372,7378.0,7291.906666666665,7501.1,6922.0
33,7230.4,7386.141999999998,7363.0,7289.7,7511.32,6922.0
34,7230.4,7377.572,7356.4,7286.333333333331,7495.493333333335,6922.0
35,7218.4,7369.719999999998,7349.6,7278.906666666667,7490.280000000001,6922.0
36,7218.4,7364.012000000001,7344.5,7279.673333333334,7474.7733333333335,6922.0
37,7216.8,7356.762,7332.9,7274.539999999999,7466.82,6922.0
38,7209.8,7358.000000000002,7336.6,7270.166666666667,7473.773333333333,6922.0
39,7206.8,7345.88,7325.2,7265.866666666666,7451.959999999999,6922.0
40,7204.2,7340.183999999999,7321.0,7263.913333333333,7441.7266666666665,6922.0
41,7204.0,7341.062000000001,7317.9,7263.919999999998,7449.0599999999995,6922.0
42,7203.0,7340.919999999998,7318.0,7264.519999999999,7447.253333333334,6922.0
43,7199.8,7341.67,7318.2,7260.7,7453.959999999999,6922.0
44,7193.2,7343.499999999998,7322.7,7262.659999999999,7453.753333333334,6922.0
45,7191.4,7342.235999999999,7318.1,7255.526666666665,7460.26,6922.0
46,7189.4,7341.807999999999,7318.8,7255.193333333332,7458.593333333333,6922.0
47,7182.6,7334.394,7319.9,7252.886666666667,7437.506666666666,6922.0
48,7182.2,7328.456,7312.2,7244.326666666666,7434.06,6922.0
49,7181.4,7323.249999999997,7311.2,7239.0666666666675,7423.453333333334,6922.0
50,7178.4,7330.786,7308.1,7242.453333333334,7444.133333333334,6922.0
51,7178.4,7322.608,7304.6,7237.026666666667,7436.333333333333,6922.0
52,7177.6,7315.634,7295.3,7232.106666666667,7427.613333333333,6922.0
53,7174.4,7309.508,7280.3,7230.526666666667,7420.839999999999,6922.0
54,7174.4,7309.76,7277.2,7224.906666666667,7432.993333333334,6922.0
55,7169.2,7300.733999999999,7272.2,7217.773333333335,7416.673333333334,6922.0
56,7169.2,7293.762000000001,7269.8,7213.746666666669,7404.073333333334,6922.0
57,7168.2,7283.017999999999,7254.9,7208.133333333334,7388.593333333332,6922.0
58,7163.8,7286.1539999999995,7261.1,7204.326666666668,7402.013333333333,6922.0
59,7161.6,7280.585999999998,7252.0,7199.686666666668,7395.806666666668,6922.0
60,7160.6,7282.8420000000015,7250.1,7199.373333333335,7408.993333333334,6922.0
61,7157.8,7270.488,7236.0,7197.3133333333335,7383.62,6922.0
62,7155.8,7268.586000000001,7237.8,7193.9400000000005,7380.673333333332,6922.0
63,7151.4,7263.649999999999,7234.5,7191.319999999998,7373.413333333333,6922.0
64,7149.4,7267.307999999999,7235.8,7190.473333333331,7386.446666666668,6922.0
65,7149.4,7268.592,7236.6,7189.359999999998,7390.9,6922.0
66,7147.4,7264.084,7232.6,7187.879999999999,7381.9000000000015,6922.0
67,7145.0,7256.056000000001,7231.5,7187.526666666665,7359.606666666667,6922.0
68,7138.4,7257.024,7225.8,7183.7666666666655,7371.053333333335,6922.0
69,7135.2,7253.896000000001,7226.0,7179.9333333333325,7365.826666666668,6922.0
70,7135.0,7248.410000000002,7219.5,7176.626666666666,7356.6799999999985,6922.0
71,7133.6,7241.316000000001,7216.7,7174.8066666666655,7341.293333333332,6922.0
72,7133.6,7241.730000000001,7214.9,7171.206666666665,7348.24,6922.0
73,7128.4,7246.375999999999,7218.3,7169.146666666666,7362.013333333333,6922.0
74,7128.4,7247.460000000001,7213.4,7168.713333333333,7368.0999999999985,6922.0
75,7123.6,7242.468000000001,7210.7,7165.7,7360.886666666667,6922.0
76,7121.2,7245.267999999999,7209.7,7166.153333333334,7369.553333333334,6922.0
77,7121.2,7246.194000000001,7212.2,7164.213333333333,7369.033333333333,6922.0
78,7118.2,7250.648000000001,7218.4,7162.113333333333,7381.08,6922.0
79,7118.2,7245.2,7214.1,7162.2266666666665,7365.006666666665,6922.0
80,7117.6,7234.894,7207.8,7158.019999999999,7348.946666666668,6922.0
81,7116.0,7233.136,7206.0,7153.386666666665,7352.006666666665,6922.0
82,7113.4,7225.082,7195.4,7151.1799999999985,7336.4,6922.0
83,7111.0,7225.614,7195.8,7148.759999999999,7342.333333333333,6922.0
84,7110.2,7219.289999999999,7190.8,7144.073333333334,7331.506666666668,6922.0
85,7109.6,7217.463999999998,7186.4,7141.906666666665,7330.233333333333,6922.0
86,7109.2,7219.314,7187.7,7140.053333333332,7339.539999999999,6922.0
87,7109.0,7216.005999999999,7187.6,7138.626666666666,7331.206666666667,6922.0
88,7108.4,7212.88,7182.8,7137.553333333335,7328.293333333333,6922.0
89,7104.6,7215.255999999999,7175.4,7136.826666666668,7339.546666666667,6922.0
90,7103.0,7214.827999999999,7177.7,7135.126666666668,7338.033333333335,6922.0
91,7102.6,7213.394,7176.3,7134.646666666667,7332.926666666666,6922.0
92,7102.2,7222.18,7180.2,7132.860000000001,7362.453333333334,6922.0
93,7100.4,7226.822,7187.7,7133.566666666666,7368.873333333334,6922.0
94,7100.2,7214.174000000001,7180.8,7131.226666666667,7339.866666666667,6922.0
95,7099.0,7212.378,7179.7,7129.6533333333355,7335.1933333333345,6922.0
96,7096.4,7210.295999999999,7170.5,7127.920000000001,7337.5666666666675,6922.0
97,7093.0,7216.573999999999,7177.8,7128.626666666668,7351.7266666666665,6922.0
98,7093.0,7225.159999999999,7187.0,7131.520000000001,7365.139999999999,6922.0
99,7092.8,7223.993999999999,7186.8,7130.386666666665,7366.08,6922.0
