gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7427.8,7744.17,7745.0,7599.266666666667,7889.039999999999,6922.0
1,7399.4,7731.272,7735.3,7590.513333333334,7871.860000000001,6922.0
2,7365.0,7705.779999999999,7713.5,7569.960000000001,7837.6866666666665,6922.0
3,7361.0,7685.759999999999,7689.8,7549.993333333334,7818.9,6922.0
4,7347.6,7663.444000000001,7667.5,7530.92,7795.553333333332,6922.0
5,7347.6,7645.176000000002,7650.9,7507.266666666667,7777.593333333333,6922.0
6,7340.6,7622.899999999999,7626.8,7486.5199999999995,7756.733333333333,6922.0
7,7332.6,7612.335999999998,7617.9,7469.000000000002,7749.44,6922.0
8,7329.6,7597.2339999999995,7602.4,7450.393333333333,7741.339999999999,6922.0
9,7322.0,7580.74,7582.4,7441.92,7718.693333333332,6922.0
10,7319.6,7578.757999999999,7585.7,7436.3133333333335,7720.673333333332,6922.0
11,7317.4,7559.112000000001,7559.0,7429.186666666668,7691.806666666666,6922.0
12,7311.0,7545.55,7537.3,7419.973333333333,7680.493333333334,6922.0
13,7308.0,7533.5779999999995,7535.8,7407.386666666667,7667.340000000001,6922.0
14,7306.8,7518.062000000001,7511.6,7399.360000000001,7647.780000000001,6922.0
15,7306.0,7516.321999999998,7509.5,7392.146666666667,7653.533333333335,6922.0
16,7297.2,7503.745999999999,7498.1,7382.740000000001,7636.526666666668,6922.0
17,7296.8,7488.758,7474.0,7378.5133333333315,7620.073333333332,6922.0
18,7288.6,7477.634000000001,7454.0,7370.113333333333,7612.5,6922.0
19,7280.0,7475.614,7452.2,7370.7733333333335,7606.493333333334,6922.0
20,7279.6,7466.814000000001,7450.5,7364.6,7590.553333333334,6922.0
21,7279.6,7454.4000000000015,7437.2,7363.019999999999,7567.246666666666,6922.0
22,7266.4,7453.592,7442.5,7355.8133333333335,7569.600000000001,6922.0
23,7260.8,7451.49,7428.5,7354.913333333335,7576.193333333334,6922.0
24,7259.4,7443.8719999999985,7428.9,7345.093333333335,7563.686666666666,6922.0
25,7253.2,7437.548000000001,7422.4,7335.746666666668,7558.546666666666,6922.0
26,7250.0,7424.969999999999,7414.5,7325.626666666666,7539.740000000001,6922.0
27,7248.0,7425.714000000002,7416.5,7324.946666666668,7543.273333333333,6922.0
28,7243.0,7421.814000000001,7410.9,7316.573333333334,7542.0666666666675,6922.0
29,7242.0,7409.118,7398.9,7305.5,7528.08,6922.0
30,7239.0,7400.804000000001,7391.8,7294.7,7520.853333333333,6922.0
31,7237.8,7397.442000000001,7395.0,7288.806666666666,7518.446666666666,6922.0
32,7237.2,7395.072,7380.5,7289.686666666668,7520.706666666667,6922.0
33,7233.8,7390.304000000001,7374.6,7286.633333333334,7515.213333333335,6922.0
34,7232.2,7386.509999999999,7369.0,7277.700000000002,7521.879999999999,6922.0
35,7232.2,7378.2,7358.9,7274.766666666667,7510.9333333333325,6922.0
36,7232.0,7369.374000000002,7341.9,7269.633333333334,7501.0,6922.0
37,7224.8,7358.296000000002,7333.3,7265.306666666668,7483.086666666667,6922.0
38,7221.4,7346.308,7315.3,7258.346666666666,7472.573333333334,6922.0
39,7215.8,7338.07,7308.2,7253.44,7458.626666666665,6922.0
40,7200.2,7335.154,7308.4,7251.853333333333,7450.339999999999,6922.0
41,7199.4,7331.763999999998,7304.9,7252.513333333333,7440.9400000000005,6922.0
42,7199.2,7332.004000000001,7308.8,7250.053333333332,7445.473333333333,6922.0
43,7195.0,7331.410000000001,7303.8,7250.126666666666,7446.353333333334,6922.0
44,7192.6,7326.704000000002,7299.0,7243.586666666665,7446.8,6922.0
45,7189.6,7327.052000000001,7298.3,7243.826666666665,7447.3,6922.0
46,7189.6,7320.066000000002,7294.6,7239.486666666666,7431.6866666666665,6922.0
47,7186.6,7316.528,7293.1,7235.633333333334,7425.606666666667,6922.0
48,7181.2,7315.144,7288.6,7232.366666666667,7432.366666666664,6922.0
49,7177.6,7307.834,7283.7,7231.780000000002,7418.860000000001,6922.0
50,7177.6,7301.930000000002,7272.6,7225.740000000001,7413.18,6922.0
51,7175.0,7294.334,7268.8,7223.1,7396.633333333334,6922.0
52,7173.6,7291.855999999998,7266.2,7222.5666666666675,7391.433333333334,6922.0
53,7169.0,7288.676000000001,7265.6,7218.713333333335,7385.966666666665,6922.0
54,7166.2,7284.887999999999,7263.9,7213.646666666666,7382.093333333333,6922.0
55,7165.6,7286.719999999999,7265.6,7211.4333333333325,7391.780000000001,6922.0
56,7165.4,7289.831999999999,7269.7,7209.646666666666,7399.12,6922.0
57,7164.2,7293.600000000001,7268.6,7209.053333333334,7411.273333333335,6922.0
58,7159.8,7290.5,7267.7,7208.153333333333,7403.126666666668,6922.0
59,7158.4,7295.07,7271.8,7205.533333333335,7416.566666666668,6922.0
60,7158.4,7288.8460000000005,7268.2,7203.986666666667,7399.973333333332,6922.0
61,7146.0,7284.889999999998,7263.4,7200.866666666666,7400.826666666666,6922.0
62,7144.8,7281.581999999998,7258.1,7198.546666666666,7395.333333333333,6922.0
63,7140.6,7277.359999999999,7255.6,7196.539999999999,7390.046666666666,6922.0
64,7140.6,7272.385999999999,7245.3,7195.586666666665,7382.700000000002,6922.0
65,7140.4,7268.526,7240.9,7194.133333333331,7377.826666666666,6922.0
66,7139.4,7263.327999999999,7235.6,7189.613333333332,7371.8133333333335,6922.0
67,7139.4,7264.442000000001,7236.2,7187.873333333334,7376.2733333333335,6922.0
68,7139.2,7262.273999999999,7234.9,7184.493333333332,7376.653333333333,6922.0
69,7138.2,7255.889999999999,7229.0,7181.626666666666,7362.993333333334,6922.0
70,7138.2,7256.476000000001,7226.2,7180.253333333332,7369.119999999998,6922.0
71,7137.0,7257.872,7228.8,7176.713333333331,7377.453333333334,6922.0
72,7131.6,7260.360000000001,7228.8,7176.006666666666,7381.833333333334,6922.0
73,7131.6,7252.912000000001,7225.4,7170.853333333331,7368.206666666665,6922.0
74,7124.0,7255.487999999999,7226.3,7171.639999999998,7375.519999999999,6922.0
75,7124.0,7262.498,7229.9,7174.44,7391.686666666668,6922.0
76,7120.6,7269.765999999999,7230.4,7175.146666666665,7409.193333333334,6922.0
77,7120.2,7264.827999999999,7234.4,7174.199999999999,7391.046666666666,6922.0
78,7113.0,7265.555999999999,7240.6,7174.373333333332,7389.873333333334,6922.0
79,7113.0,7267.355999999998,7239.7,7170.573333333332,7397.406666666667,6922.0
80,7111.4,7265.729999999999,7237.7,7169.513333333333,7399.859999999999,6922.0
81,7111.4,7265.219999999998,7242.7,7167.8,7400.2,6922.0
82,7111.4,7254.9220000000005,7231.0,7168.7,7374.92,6922.0
83,7111.0,7255.258000000002,7231.2,7173.166666666667,7370.573333333332,6922.0
84,7111.0,7254.506000000001,7221.7,7169.3,7380.633333333333,6922.0
85,7108.2,7251.5160000000005,7213.3,7168.846666666666,7377.453333333334,6922.0
86,7108.2,7255.536,7217.6,7170.653333333334,7386.946666666666,6922.0
87,7108.2,7254.0960000000005,7217.1,7170.966666666667,7378.753333333334,6922.0
88,7108.2,7253.728,7215.3,7168.660000000001,7385.353333333334,6922.0
89,7106.4,7252.7440000000015,7217.0,7169.58,7379.213333333335,6922.0
90,7103.2,7255.7840000000015,7216.3,7169.133333333334,7388.519999999999,6922.0
91,7102.6,7251.098,7215.4,7167.533333333335,7380.453333333334,6922.0
92,7102.6,7249.5160000000005,7213.1,7166.713333333333,7377.493333333335,6922.0
93,7102.6,7242.714000000002,7209.7,7165.540000000001,7361.146666666667,6922.0
94,7102.6,7249.764,7212.8,7165.153333333333,7377.746666666666,6922.0
95,7102.6,7255.444000000001,7216.5,7165.366666666667,7393.853333333333,6922.0
96,7102.6,7256.737999999999,7218.4,7160.846666666666,7404.233333333333,6922.0
97,7101.2,7252.360000000001,7213.1,7161.846666666667,7395.593333333333,6922.0
98,7099.6,7249.1720000000005,7209.2,7160.493333333334,7386.946666666668,6922.0
99,7099.6,7248.498000000001,7213.7,7160.413333333335,7383.393333333335,6922.0
