gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7444.0,7737.572,7738.0,7594.026666666667,7885.813333333334,6922.0
1,7433.8,7722.920000000001,7726.1,7572.92,7872.446666666668,6922.0
2,7425.6,7711.688000000004,7716.5,7562.68,7859.4,6922.0
3,7425.4,7697.702000000002,7699.8,7544.693333333334,7850.5,6922.0
4,7419.4,7704.576000000001,7702.0,7548.366666666664,7861.0599999999995,6922.0
5,7419.4,7697.000000000003,7701.7,7544.886666666667,7848.973333333333,6922.0
6,7413.8,7695.156000000001,7702.0,7530.913333333333,7858.606666666665,6922.0
7,7407.0,7694.298,7695.7,7520.659999999999,7870.933333333334,6922.0
8,7405.0,7688.034,7696.1,7508.106666666667,7858.42,6922.0
9,7403.2,7678.6539999999995,7688.8,7494.340000000001,7858.846666666666,6922.0
10,7398.4,7676.032000000001,7685.1,7492.666666666669,7854.046666666667,6922.0
11,7385.2,7683.804000000001,7697.1,7501.853333333334,7855.9333333333325,6922.0
12,7385.2,7683.765999999999,7703.7,7497.253333333334,7856.973333333332,6922.0
13,7379.2,7679.803999999999,7695.6,7492.693333333334,7855.68,6922.0
14,7379.2,7676.082,7687.8,7488.833333333336,7860.480000000001,6922.0
15,7379.2,7676.884000000001,7689.0,7494.5733333333355,7853.086666666667,6922.0
16,7379.2,7675.522,7690.5,7488.166666666669,7854.826666666666,6922.0
17,7379.2,7674.218000000001,7692.8,7484.006666666666,7854.893333333332,6922.0
18,7377.8,7678.335999999998,7700.8,7486.493333333334,7857.973333333332,6922.0
19,7377.0,7677.613999999999,7689.8,7485.766666666667,7865.993333333334,6922.0
20,7377.0,7669.536,7683.9,7473.779999999999,7855.653333333334,6922.0
21,7377.0,7674.794,7686.6,7482.146666666667,7857.88,6922.0
22,7376.2,7676.754000000001,7693.4,7480.466666666667,7861.5599999999995,6922.0
23,7376.2,7667.789999999999,7682.3,7479.033333333331,7847.1,6922.0
24,7376.2,7673.154,7689.2,7478.5666666666675,7856.193333333334,6922.0
25,7357.0,7674.058,7691.1,7473.893333333335,7856.933333333332,6922.0
26,7357.0,7662.346,7683.0,7467.113333333333,7848.12,6922.0
27,7350.0,7665.851999999999,7682.6,7460.153333333334,7862.273333333333,6922.0
28,7350.0,7655.7880000000005,7676.0,7452.893333333333,7851.806666666666,6922.0
29,7350.0,7651.918,7670.0,7442.413333333333,7851.153333333333,6922.0
30,7349.6,7655.214000000002,7671.8,7449.473333333333,7853.466666666665,6922.0
31,7349.6,7658.198000000001,7680.8,7447.2333333333345,7855.359999999999,6922.0
32,7349.6,7651.6,7674.3,7442.026666666668,7844.413333333333,6922.0
33,7349.6,7657.598,7683.6,7437.033333333335,7858.340000000001,6922.0
34,7349.6,7655.678000000003,7680.0,7437.633333333334,7856.44,6922.0
35,7349.6,7646.238,7671.1,7428.206666666667,7843.58,6922.0
36,7349.6,7653.322,7679.8,7435.073333333334,7852.76,6922.0
37,7349.6,7656.558,7682.8,7436.326666666668,7858.32,6922.0
38,7348.2,7657.600000000001,7683.6,7435.946666666668,7861.7733333333335,6922.0
39,7348.2,7652.302000000001,7683.4,7439.973333333333,7846.373333333332,6922.0
40,7348.2,7653.674000000002,7677.9,7428.153333333334,7860.286666666667,6922.0
41,7348.2,7654.537999999999,7674.9,7431.666666666666,7857.306666666666,6922.0
42,7348.2,7652.58,7672.7,7433.146666666667,7858.966666666665,6922.0
43,7348.2,7653.767999999999,7685.2,7434.746666666668,7852.520000000001,6922.0
44,7348.2,7649.244000000001,7676.7,7429.3200000000015,7847.486666666667,6922.0
45,7344.6,7653.402,7683.7,7425.653333333334,7853.106666666668,6922.0
46,7344.6,7659.514,7687.0,7431.946666666668,7863.086666666667,6922.0
47,7344.6,7662.263999999998,7695.0,7436.306666666666,7856.3,6922.0
48,7344.6,7657.464,7679.6,7435.453333333333,7855.006666666665,6922.0
49,7344.6,7659.436,7686.8,7430.753333333334,7858.553333333332,6922.0
50,7344.6,7660.674000000001,7700.2,7427.826666666666,7856.933333333334,6922.0
51,7344.6,7655.816000000001,7693.6,7424.886666666667,7859.146666666666,6922.0
52,7344.6,7650.652000000002,7678.1,7422.373333333334,7858.406666666665,6922.0
53,7341.4,7647.348,7669.6,7417.68,7857.18,6922.0
54,7341.4,7648.317999999999,7675.5,7406.946666666666,7859.42,6922.0
55,7341.4,7645.264000000001,7682.0,7410.333333333334,7851.253333333332,6922.0
56,7341.4,7641.58,7677.2,7401.093333333333,7858.553333333332,6922.0
57,7335.6,7637.316000000001,7669.9,7407.8,7848.719999999999,6922.0
58,7335.6,7637.1280000000015,7671.3,7413.146666666667,7846.626666666666,6922.0
59,7335.6,7643.430000000002,7681.5,7413.6866666666665,7855.926666666668,6922.0
60,7335.6,7639.656000000001,7678.4,7410.713333333333,7843.726666666667,6922.0
61,7327.4,7640.1500000000015,7677.6,7403.700000000002,7851.333333333334,6922.0
62,7327.4,7637.658,7673.0,7401.9000000000015,7852.113333333333,6922.0
63,7327.4,7631.848000000001,7666.7,7395.153333333334,7846.106666666667,6922.0
64,7327.4,7635.9299999999985,7668.4,7400.9,7852.0666666666675,6922.0
65,7327.4,7640.603999999999,7671.3,7406.26,7859.2733333333335,6922.0
