gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7279.2,7759.90039999993,7759.4,7617.052866666707,7903.340266666661,6922.0
1,7252.2,7748.7064999999275,7747.6,7606.622133333333,7892.005866666652,6922.0
2,7233.0,7730.206959999969,7729.0,7590.152333333346,7871.558200000012,6922.0
3,7227.0,7713.980759999996,7712.8,7575.1855333333315,7854.4186666666765,6922.0
4,7221.8,7701.496720000049,7700.9,7563.7951333333285,7840.304466666668,6922.0
5,7215.4,7691.209860000078,7690.0,7555.151199999996,7829.02900000001,6922.0
6,7214.0,7682.640980000091,7681.4,7546.683666666654,7820.511133333333,6922.0
7,7205.4,7674.88858000013,7673.8,7539.473666666675,7812.222466666656,6922.0
8,7203.8,7668.154260000139,7666.2,7532.560466666693,7806.038866666665,6922.0
9,7198.8,7662.586200000133,7661.2,7526.7298666667,7800.570799999999,6922.0
10,7194.6,7656.924560000145,7656.0,7520.490199999998,7794.762733333319,6922.0
11,7186.6,7651.513380000179,7650.0,7515.300600000012,7789.681733333322,6922.0
12,7184.0,7645.509240000181,7643.0,7509.355066666688,7784.431933333323,6922.0
13,7183.8,7640.579660000153,7638.5,7503.953066666669,7779.832466666664,6922.0
14,7178.8,7636.020240000139,7634.2,7498.716733333347,7775.388999999997,6922.0
15,7153.0,7631.238420000157,7629.5,7493.616400000012,7770.902399999992,6922.0
16,7150.8,7626.31050000016,7624.8,7488.505133333347,7766.436599999977,6922.0
17,7150.8,7622.13544000016,7620.4,7484.267066666682,7762.49033333332,6922.0
18,7149.4,7617.985660000146,7616.0,7480.380866666674,7758.321933333324,6922.0
19,7149.4,7613.193800000145,7611.6,7475.131266666678,7753.408999999992,6922.0
20,7149.4,7608.700160000148,7607.4,7470.399733333342,7748.85333333332,6922.0
21,7147.8,7604.954500000136,7602.6,7467.16593333334,7745.417666666655,6922.0
22,7147.8,7600.840540000153,7599.0,7462.569200000011,7741.3635999999915,6922.0
23,7141.6,7597.4999800001515,7595.6,7460.219466666669,7737.3124,6922.0
24,7137.8,7592.567620000134,7590.0,7454.788533333337,7733.239066666663,6922.0
25,7136.2,7587.912100000149,7586.2,7450.50259999999,7728.2269999999935,6922.0
26,7132.8,7583.743360000131,7581.4,7446.968200000003,7723.96686666666,6922.0
27,7132.8,7580.981900000125,7578.0,7444.389400000005,7721.205666666661,6922.0
28,7132.0,7576.439280000106,7574.0,7439.505933333347,7716.490400000001,6922.0
29,7130.4,7571.979560000131,7569.7,7435.816666666671,7711.354666666666,6922.0
30,7130.0,7568.200960000138,7564.8,7432.696799999998,7707.762399999994,6922.0
