gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7434.8,7741.254000000001,7742.2,7600.886666666667,7882.406666666667,6922.0
1,7374.2,7719.134000000001,7721.4,7578.466666666667,7861.5199999999995,6922.0
2,7372.4,7691.325999999998,7697.9,7552.466666666665,7826.840000000001,6922.0
3,7359.6,7667.498,7672.6,7526.4333333333325,7806.339999999999,6922.0
4,7338.2,7631.44,7631.5,7491.333333333333,7771.920000000001,6922.0
5,7338.2,7619.868,7616.5,7485.673333333334,7758.1,6922.0
6,7337.2,7607.695999999999,7602.7,7477.719999999999,7744.713333333333,6922.0
7,7313.8,7585.4800000000005,7580.0,7452.806666666666,7726.586666666667,6922.0
8,7284.8,7570.108000000002,7569.6,7436.780000000001,7709.539999999999,6922.0
9,7267.4,7552.294,7553.3,7422.433333333332,7686.993333333334,6922.0
10,7254.8,7537.476,7535.7,7401.613333333335,7677.826666666668,6922.0
11,7253.2,7517.705999999998,7516.0,7384.546666666664,7658.2,6922.0
12,7237.0,7495.683999999998,7490.6,7366.946666666666,7634.046666666666,6922.0
13,7235.4,7482.9619999999995,7481.2,7356.88,7617.533333333333,6922.0
14,7225.2,7465.134,7461.6,7341.106666666668,7597.433333333334,6922.0
15,7216.8,7448.908,7446.4,7325.3,7576.073333333334,6922.0
16,7213.2,7446.6539999999995,7442.6,7319.466666666667,7579.826666666668,6922.0
17,7208.6,7430.274000000002,7425.9,7306.633333333333,7560.039999999999,6922.0
18,7208.2,7409.764000000001,7412.2,7287.82,7533.093333333333,6922.0
19,7207.0,7398.564,7398.7,7275.333333333333,7530.3133333333335,6922.0
20,7204.8,7387.1860000000015,7380.4,7265.373333333332,7526.586666666667,6922.0
21,7204.8,7383.636,7374.1,7264.4800000000005,7526.526666666667,6922.0
22,7198.8,7371.757999999999,7349.0,7259.293333333333,7514.219999999999,6922.0
23,7197.4,7359.398000000001,7341.8,7258.5199999999995,7493.193333333334,6922.0
24,7189.6,7350.612000000001,7332.3,7254.413333333333,7476.6799999999985,6922.0
25,7185.4,7351.594,7330.2,7250.646666666666,7485.533333333333,6922.0
26,7184.2,7351.618000000002,7333.5,7246.646666666666,7486.393333333333,6922.0
27,7182.6,7341.323999999999,7313.3,7240.326666666666,7472.046666666667,6922.0
28,7180.8,7337.444,7304.9,7233.9,7478.713333333333,6922.0
29,7180.6,7333.556,7307.1,7236.5599999999995,7464.1866666666665,6922.0
30,7171.8,7335.342,7309.5,7233.539999999999,7469.053333333332,6922.0
31,7171.8,7336.058,7308.2,7232.486666666664,7476.100000000001,6922.0
32,7167.8,7329.446000000001,7306.1,7228.546666666667,7461.846666666667,6922.0
33,7165.8,7328.168,7302.3,7221.1799999999985,7466.166666666667,6922.0
34,7165.8,7334.795999999998,7306.8,7221.093333333333,7487.033333333333,6922.0
35,7161.2,7322.298,7291.8,7217.779999999999,7464.7,6922.0
36,7152.4,7310.767999999999,7288.5,7215.366666666666,7434.553333333335,6922.0
37,7152.4,7307.718000000001,7282.0,7209.033333333333,7437.966666666669,6922.0
38,7147.4,7308.917999999998,7280.0,7206.819999999998,7444.520000000001,6922.0
39,7147.0,7309.792000000001,7284.5,7205.699999999999,7451.573333333334,6922.0
40,7147.0,7308.052000000001,7282.0,7204.773333333333,7447.166666666667,6922.0
41,7142.6,7301.031999999999,7274.1,7202.606666666667,7435.953333333333,6922.0
42,7141.8,7301.559999999998,7276.2,7204.6,7433.0,6922.0
43,7141.8,7295.302000000001,7274.1,7199.219999999999,7418.219999999999,6922.0
44,7139.6,7296.7080000000005,7271.2,7196.853333333333,7429.640000000001,6922.0
45,7136.8,7305.273999999998,7274.3,7199.693333333334,7450.100000000001,6922.0
46,7135.4,7294.442,7270.6,7192.6799999999985,7428.733333333333,6922.0
47,7135.4,7281.147999999998,7259.9,7183.0599999999995,7405.319999999998,6922.0
48,7129.6,7273.081999999999,7253.9,7181.3,7391.4400000000005,6922.0
49,7127.0,7260.409999999999,7236.7,7173.659999999999,7381.366666666666,6922.0
