gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7403.2,7753.698399999998,7754.5,7611.542666666661,7896.846666666674,6922.0
1,7349.6,7742.705600000001,7744.3,7600.882666666665,7882.32933333334,6922.0
2,7335.4,7719.731599999999,7721.3,7577.349333333342,7860.706666666665,6922.0
3,7319.0,7697.865599999999,7697.9,7557.822666666683,7838.106666666659,6922.0
4,7302.4,7682.161999999999,7679.6,7544.402666666679,7823.271999999999,6922.0
5,7298.0,7670.130400000002,7669.9,7532.393333333338,7808.886666666663,6922.0
6,7281.6,7652.334400000002,7653.1,7515.318666666657,7790.437333333331,6922.0
7,7268.6,7641.844,7640.9,7504.47199999999,7780.594666666666,6922.0
8,7262.8,7628.698399999999,7626.5,7492.625333333324,7767.622666666668,6922.0
9,7249.2,7621.6636,7622.1,7483.727999999993,7761.038666666672,6922.0
10,7243.8,7614.7080000000005,7611.4,7478.453333333328,7753.568000000005,6922.0
11,7243.6,7602.893999999998,7599.4,7464.486666666666,7743.329333333337,6922.0
12,7234.0,7594.776400000001,7598.9,7451.953333333334,7734.390666666668,6922.0
13,7219.4,7582.078000000003,7584.2,7439.550666666665,7722.909333333332,6922.0
14,7211.8,7572.901599999999,7574.8,7429.378666666664,7715.093333333333,6922.0
15,7206.2,7560.807999999999,7563.2,7416.499999999993,7704.637333333334,6922.0
16,7195.0,7548.775200000001,7551.5,7406.355999999997,7690.069333333336,6922.0
17,7195.0,7541.813200000004,7545.5,7398.277333333329,7682.930666666667,6922.0
18,7189.8,7534.078000000003,7535.5,7390.554666666665,7676.989333333333,6922.0
19,7183.6,7526.8107999999975,7526.1,7383.3946666666625,7670.914666666667,6922.0
20,7182.2,7518.124800000002,7518.4,7374.789333333332,7663.101333333337,6922.0
21,7178.6,7514.074400000002,7512.9,7368.362666666666,7663.208000000003,6922.0
22,7175.8,7506.300399999998,7505.6,7360.395999999998,7656.648000000001,6922.0
23,7172.2,7498.7792,7494.8,7354.825333333329,7649.948000000001,6922.0
24,7171.6,7487.9636,7481.2,7347.109333333332,7638.202666666664,6922.0
25,7171.4,7483.314400000001,7475.2,7346.379999999999,7632.212000000001,6922.0
26,7171.4,7473.287200000001,7466.8,7336.013333333336,7619.6186666666645,6922.0
27,7169.4,7469.329200000002,7461.4,7331.064000000001,7619.9813333333295,6922.0
28,7169.4,7458.216000000002,7447.2,7324.31466666667,7605.418666666665,6922.0
29,7166.4,7449.701999999999,7438.0,7318.348,7595.4800000000005,6922.0
30,7164.8,7444.863600000002,7432.8,7312.830666666667,7592.033333333331,6922.0
31,7161.0,7439.120399999998,7427.5,7308.710666666666,7584.442666666662,6922.0
32,7152.6,7433.1652,7419.4,7302.322666666669,7580.579999999999,6922.0
33,7151.8,7424.3428,7410.2,7298.046666666667,7565.9226666666655,6922.0
34,7151.0,7418.320800000003,7403.6,7292.965333333339,7562.961333333328,6922.0
35,7149.0,7412.931999999999,7397.6,7288.393333333339,7555.722666666663,6922.0
36,7149.0,7410.676000000004,7394.6,7286.784000000007,7554.717333333331,6922.0
37,7144.4,7405.591600000004,7387.1,7280.752000000006,7552.0679999999975,6922.0
38,7144.2,7403.280000000002,7385.3,7274.961333333338,7552.590666666668,6922.0
39,7142.0,7395.598400000003,7378.2,7268.449333333338,7544.787999999998,6922.0
40,7136.2,7395.394800000002,7373.6,7266.104000000007,7548.351999999999,6922.0
41,7136.0,7388.2411999999995,7367.0,7261.098666666672,7540.163999999997,6922.0
42,7131.6,7381.796800000001,7360.1,7255.305333333335,7533.763999999998,6922.0
43,7129.2,7375.318000000001,7351.3,7250.272,7527.723999999997,6922.0
44,7129.2,7367.212399999999,7343.8,7244.06666666667,7517.245333333334,6922.0
45,7129.0,7363.0332,7336.9,7240.581333333335,7515.2733333333335,6922.0
46,7124.8,7364.682000000001,7339.7,7238.324000000005,7521.568000000001,6922.0
47,7121.0,7360.089999999998,7335.4,7231.353333333335,7517.8493333333345,6922.0
48,7114.6,7354.106799999999,7329.4,7227.661333333335,7510.256000000003,6922.0
49,7110.6,7345.813600000001,7318.2,7221.725333333338,7500.440000000002,6922.0
50,7110.6,7338.287199999997,7312.9,7215.421333333336,7490.024,6922.0
51,7110.4,7332.207600000002,7303.6,7211.7506666666695,7484.615999999999,6922.0
52,7106.6,7325.7796,7295.7,7205.748000000004,7480.387999999999,6922.0
53,7101.6,7322.705200000001,7292.1,7202.309333333335,7478.988000000002,6922.0
54,7099.6,7318.1924,7288.2,7199.214666666667,7471.6653333333325,6922.0
55,7097.4,7312.0532,7282.3,7195.166666666667,7463.616,6922.0
56,7090.6,7312.288400000002,7279.8,7193.564,7468.281333333335,6922.0
