gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7416.8,7742.746000000002,7746.6,7602.38,7879.493333333334,6922.0
1,7385.4,7722.470000000001,7726.7,7575.9,7867.186666666666,6922.0
2,7373.0,7694.93,7701.3,7551.88,7834.68,6922.0
3,7358.4,7668.118,7673.9,7526.846666666666,7803.913333333333,6922.0
4,7355.2,7640.530000000001,7648.9,7495.839999999999,7781.373333333334,6922.0
5,7340.4,7621.624000000001,7625.5,7476.839999999999,7766.386666666667,6922.0
6,7334.8,7588.639999999998,7590.6,7453.646666666667,7725.240000000001,6922.0
7,7325.2,7568.186,7574.0,7442.340000000001,7696.113333333333,6922.0
8,7316.8,7555.718000000001,7553.4,7431.886666666667,7685.12,6922.0
9,7287.8,7536.039999999999,7531.4,7414.899999999999,7660.773333333333,6922.0
10,7279.4,7529.366000000002,7527.6,7405.693333333332,7658.606666666665,6922.0
11,7274.6,7516.317999999999,7505.3,7392.7,7658.406666666667,6922.0
12,7270.2,7495.118,7485.9,7376.3066666666655,7623.860000000001,6922.0
13,7269.4,7480.767999999999,7476.6,7362.2,7606.673333333332,6922.0
14,7264.8,7462.649999999999,7461.8,7353.366666666667,7578.460000000001,6922.0
15,7254.8,7449.928,7440.2,7341.353333333334,7571.460000000001,6922.0
16,7242.6,7433.564,7421.9,7328.4,7554.526666666667,6922.0
17,7235.4,7423.888000000001,7408.3,7319.699999999999,7548.506666666666,6922.0
18,7232.6,7412.683999999999,7397.6,7312.366666666666,7531.360000000001,6922.0
19,7220.8,7410.406,7394.8,7311.086666666667,7528.2,6922.0
20,7214.8,7415.1579999999985,7401.7,7305.0133333333315,7547.3,6922.0
21,7212.6,7403.584,7389.0,7300.520000000001,7527.9800000000005,6922.0
22,7207.0,7397.915999999999,7389.4,7293.886666666665,7517.546666666667,6922.0
23,7205.2,7385.094,7377.7,7292.293333333333,7491.753333333334,6922.0
24,7194.0,7383.119999999998,7373.2,7282.366666666664,7499.299999999998,6922.0
25,7190.6,7379.6579999999985,7374.0,7277.973333333331,7494.866666666666,6922.0
26,7182.2,7369.956,7362.8,7266.119999999998,7485.733333333332,6922.0
27,7174.6,7358.526,7344.2,7252.106666666665,7482.413333333333,6922.0
28,7173.0,7350.833999999998,7339.6,7248.546666666666,7469.220000000001,6922.0
29,7167.0,7352.428,7332.6,7242.873333333334,7485.493333333332,6922.0
