gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7422.4,7748.851999999999,7758.0,7595.280000000001,7897.88,6922.0
1,7404.4,7716.008,7720.3,7575.9000000000015,7856.433333333334,6922.0
2,7383.0,7691.088000000001,7697.7,7545.166666666666,7833.539999999999,6922.0
3,7344.2,7680.174000000001,7689.3,7532.0199999999995,7825.206666666667,6922.0
4,7337.8,7656.564000000001,7664.6,7505.986666666667,7802.593333333333,6922.0
5,7316.6,7629.925999999998,7636.6,7478.7,7779.146666666666,6922.0
6,7300.0,7611.218000000003,7610.2,7462.706666666665,7762.56,6922.0
7,7300.0,7598.402,7596.3,7459.219999999999,7744.653333333334,6922.0
8,7297.2,7582.078000000001,7575.9,7452.8133333333335,7720.706666666665,6922.0
9,7293.8,7572.994000000001,7573.4,7442.42,7705.3133333333335,6922.0
10,7293.4,7554.017999999999,7555.9,7423.766666666667,7684.626666666666,6922.0
11,7293.4,7537.030000000002,7535.1,7405.74,7673.42,6922.0
12,7282.8,7517.337999999999,7520.2,7385.460000000001,7651.593333333333,6922.0
13,7280.8,7489.83,7475.2,7367.326666666668,7630.0599999999995,6922.0
14,7277.4,7480.766000000001,7471.5,7357.873333333334,7617.493333333332,6922.0
15,7266.8,7465.426000000001,7451.5,7344.8,7604.426666666666,6922.0
16,7248.2,7446.214000000002,7437.5,7327.740000000001,7579.92,6922.0
17,7237.6,7425.814000000001,7408.7,7313.986666666667,7555.613333333333,6922.0
18,7228.8,7406.757999999999,7390.3,7302.420000000001,7533.606666666667,6922.0
19,7224.0,7395.318000000001,7374.9,7295.386666666665,7521.780000000001,6922.0
20,7206.8,7390.968000000001,7372.5,7286.233333333333,7519.593333333335,6922.0
21,7197.6,7388.586,7374.9,7276.993333333334,7524.853333333333,6922.0
22,7197.0,7381.001999999999,7358.5,7272.406666666668,7515.006666666665,6922.0
23,7196.6,7372.3499999999985,7355.4,7264.486666666667,7502.74,6922.0
24,7186.8,7363.638000000002,7338.0,7259.626666666666,7496.493333333334,6922.0
25,7186.0,7361.303999999998,7341.1,7256.866666666666,7491.053333333334,6922.0
26,7184.4,7352.521999999999,7334.0,7251.76,7480.993333333332,6922.0
27,7180.4,7349.4800000000005,7332.1,7249.613333333333,7470.866666666667,6922.0
28,7180.2,7348.87,7328.4,7245.093333333333,7477.166666666667,6922.0
29,7180.2,7338.094000000002,7321.3,7237.660000000001,7463.906666666667,6922.0
30,7180.2,7332.935999999999,7312.5,7234.826666666666,7459.080000000002,6922.0
31,7174.2,7316.987999999999,7297.1,7228.8133333333335,7434.040000000001,6922.0
32,7171.0,7312.459999999999,7290.3,7227.9800000000005,7428.866666666667,6922.0
33,7171.0,7313.1799999999985,7284.2,7227.333333333333,7435.840000000001,6922.0
34,7169.4,7317.445999999998,7283.4,7227.240000000001,7450.346666666666,6922.0
35,7169.4,7305.8679999999995,7276.4,7224.7266666666665,7424.633333333334,6922.0
36,7169.4,7300.590000000001,7276.7,7223.44,7409.073333333334,6922.0
37,7165.6,7294.858,7267.3,7220.240000000001,7402.853333333333,6922.0
38,7160.2,7294.843999999999,7269.0,7217.1,7405.326666666668,6922.0
39,7159.4,7295.013999999998,7268.0,7215.753333333334,7408.340000000001,6922.0
40,7157.2,7300.382,7271.1,7213.246666666669,7424.706666666667,6922.0
41,7154.6,7292.998000000001,7264.5,7207.813333333336,7414.646666666666,6922.0
42,7152.8,7289.692000000001,7258.3,7204.313333333336,7412.553333333334,6922.0
43,7149.8,7289.136,7255.9,7202.9866666666685,7414.639999999999,6922.0
44,7149.8,7292.837999999998,7257.6,7201.086666666667,7426.4800000000005,6922.0
