gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7438.8,7752.863999999999,7752.4,7611.0,7898.8200000000015,6922.0
1,7411.4,7727.816000000001,7730.6,7585.340000000001,7870.986666666667,6922.0
2,7382.0,7699.781999999999,7706.1,7559.173333333332,7839.280000000001,6922.0
3,7382.0,7683.855999999998,7683.2,7548.159999999999,7820.88,6922.0
4,7379.4,7667.536000000002,7672.9,7533.846666666667,7797.886666666667,6922.0
5,7366.2,7651.9299999999985,7655.6,7521.893333333332,7780.826666666666,6922.0
6,7358.0,7635.248,7638.8,7503.393333333333,7765.899999999999,6922.0
7,7349.8,7625.015999999999,7628.7,7492.506666666666,7757.4800000000005,6922.0
8,7349.8,7612.5199999999995,7622.0,7471.339999999999,7747.539999999999,6922.0
9,7334.4,7595.492,7607.5,7449.340000000001,7737.180000000002,6922.0
10,7322.0,7574.128,7581.4,7433.146666666667,7713.486666666667,6922.0
11,7307.6,7554.026000000001,7551.4,7421.913333333335,7696.973333333333,6922.0
12,7299.4,7538.186,7522.8,7412.240000000001,7682.160000000001,6922.0
13,7295.8,7523.328000000001,7517.1,7396.293333333335,7662.106666666668,6922.0
14,7289.0,7508.933999999998,7494.6,7390.113333333333,7644.813333333334,6922.0
15,7272.0,7492.514,7485.3,7371.146666666666,7626.913333333333,6922.0
16,7259.2,7486.348000000001,7480.6,7367.8,7619.006666666666,6922.0
17,7252.2,7472.99,7465.0,7351.159999999999,7607.9000000000015,6922.0
18,7246.8,7456.934000000001,7450.5,7337.280000000001,7590.0199999999995,6922.0
19,7236.2,7443.542000000001,7431.8,7323.173333333332,7582.5,6922.0
20,7235.0,7432.521999999999,7418.8,7311.6866666666665,7571.513333333333,6922.0
21,7228.6,7414.55,7406.9,7302.280000000001,7537.1533333333355,6922.0
22,7226.0,7406.508,7389.8,7293.660000000001,7538.953333333334,6922.0
23,7220.0,7403.114000000001,7391.3,7291.4866666666685,7531.740000000001,6922.0
24,7217.6,7393.350000000003,7382.7,7282.660000000001,7523.406666666667,6922.0
25,7214.4,7389.236000000002,7370.9,7276.626666666668,7525.4333333333325,6922.0
26,7212.0,7380.289999999999,7360.5,7267.92,7519.946666666666,6922.0
27,7212.0,7375.036,7349.3,7262.719999999999,7522.8,6922.0
28,7205.4,7359.232000000001,7331.6,7258.253333333332,7491.026666666665,6922.0
29,7203.6,7345.248,7318.3,7256.673333333334,7466.346666666667,6922.0
30,7202.0,7346.860000000001,7317.4,7254.586666666665,7474.413333333333,6922.0
31,7201.0,7341.568000000001,7312.7,7255.0133333333315,7463.493333333334,6922.0
32,7197.6,7337.74,7309.5,7253.5599999999995,7456.166666666667,6922.0
33,7192.8,7336.838000000001,7306.9,7253.1799999999985,7458.759999999999,6922.0
34,7192.2,7328.418000000002,7300.3,7246.746666666666,7445.519999999999,6922.0
35,7185.0,7316.300000000001,7293.2,7238.56,7424.039999999999,6922.0
36,7185.0,7314.340000000001,7286.9,7234.466666666669,7428.420000000001,6922.0
37,7182.2,7317.606,7289.2,7232.0733333333355,7441.0,6922.0
38,7180.0,7317.644,7285.3,7231.420000000003,7443.053333333332,6922.0
39,7177.2,7321.473999999999,7289.3,7230.200000000002,7449.006666666666,6922.0
40,7173.6,7308.126000000001,7283.1,7223.920000000001,7419.653333333333,6922.0
41,7173.6,7301.892000000002,7277.6,7219.553333333332,7413.033333333333,6922.0
42,7171.2,7293.607999999998,7275.2,7211.0133333333315,7399.839999999999,6922.0
43,7171.2,7297.514000000001,7278.9,7208.279999999999,7414.513333333333,6922.0
44,7167.2,7295.170000000001,7271.8,7206.173333333332,7417.62,6922.0
45,7163.0,7289.886,7264.4,7205.286666666667,7407.479999999999,6922.0
46,7161.6,7287.546,7258.7,7202.9266666666645,7409.839999999999,6922.0
47,7156.2,7282.018000000001,7256.7,7199.1866666666665,7401.626666666668,6922.0
48,7152.2,7286.766000000001,7256.4,7199.966666666665,7415.786666666665,6922.0
49,7151.2,7280.484000000001,7243.5,7197.586666666667,7405.413333333335,6922.0
50,7150.0,7283.053999999999,7250.6,7194.866666666666,7410.973333333333,6922.0
51,7146.4,7281.312000000001,7248.0,7195.9,7408.519999999999,6922.0
52,7145.0,7279.610000000001,7246.0,7193.053333333334,7409.6,6922.0
53,7139.6,7275.142000000003,7247.0,7193.833333333333,7392.966666666667,6922.0
54,7138.8,7282.83,7249.2,7191.693333333334,7414.0599999999995,6922.0
55,7136.0,7270.5740000000005,7240.6,7185.033333333333,7392.626666666668,6922.0
56,7135.0,7265.433999999999,7237.9,7181.353333333333,7384.246666666666,6922.0
