gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7669.2,7705.333333333334,7739.6,0.0,Infinity,6922.0
1,7664.2,7680.4,7697.4,0.0,Infinity,6922.0
2,7664.2,7668.466666666667,7673.2,0.0,Infinity,6922.0
3,7664.2,7674.2,7694.2,0.0,Infinity,6922.0
4,7637.6,7657.0666666666675,7669.4,0.0,Infinity,6922.0
5,7637.6,7643.6,7655.6,0.0,Infinity,6922.0
6,7637.6,7640.333333333334,7645.8,0.0,Infinity,6922.0
7,7616.0,7630.4,7637.6,0.0,Infinity,6922.0
8,7610.0,7617.8,7627.4,0.0,Infinity,6922.0
9,7607.6,7611.2,7616.0,0.0,Infinity,6922.0
10,7607.6,7607.6,7607.6,0.0,Infinity,6922.0
11,7605.0,7614.999999999998,7632.4,0.0,Infinity,6922.0
12,7605.0,7623.533333333335,7642.4,0.0,Infinity,6922.0
13,7601.0,7605.666666666666,7611.0,0.0,Infinity,6922.0
14,7597.4,7599.8,7601.0,0.0,Infinity,6922.0
15,7592.2,7595.666666666667,7597.4,0.0,Infinity,6922.0
16,7589.4,7613.333333333333,7660.8,0.0,Infinity,6922.0
17,7582.4,7588.6,7594.0,0.0,Infinity,6922.0
18,7581.6,7582.133333333334,7582.4,0.0,Infinity,6922.0
19,7580.4,7581.2,7581.6,0.0,Infinity,6922.0
20,7580.4,7580.666666666666,7581.2,0.0,Infinity,6922.0
21,7580.4,7584.333333333334,7592.2,0.0,Infinity,6922.0
22,7578.8,7586.733333333333,7601.0,0.0,Infinity,6922.0
23,7578.8,7578.933333333334,7579.2,0.0,Infinity,6922.0
24,7578.8,7584.066666666666,7594.6,0.0,Infinity,6922.0
25,7578.8,7578.8,7578.8,0.0,Infinity,6922.0
26,7578.8,7580.866666666667,7585.0,0.0,Infinity,6922.0
27,7578.4,7591.533333333335,7617.4,0.0,Infinity,6922.0
28,7574.4,7583.866666666666,7598.8,0.0,Infinity,6922.0
29,7564.4,7571.999999999998,7577.2,0.0,Infinity,6922.0
30,7564.4,7564.4,7564.4,0.0,Infinity,6922.0
31,7557.2,7566.466666666665,7577.8,0.0,Infinity,6922.0
32,7556.0,7564.7333333333345,7581.0,0.0,Infinity,6922.0
33,7551.2,7574.733333333333,7617.0,0.0,Infinity,6922.0
34,7551.2,7554.0,7559.6,0.0,Infinity,6922.0
35,7547.6,7550.0,7551.2,0.0,Infinity,6922.0
36,7547.6,7549.333333333333,7552.8,0.0,Infinity,6922.0
37,7546.2,7549.4,7554.4,0.0,Infinity,6922.0
38,7543.8,7547.8,7553.4,0.0,Infinity,6922.0
39,7538.6,7546.600000000001,7557.4,0.0,Infinity,6922.0
40,7538.6,7544.866666666666,7557.4,0.0,Infinity,6922.0
41,7538.2,7541.9333333333325,7549.0,0.0,Infinity,6922.0
42,7537.0,7540.866666666666,7547.4,0.0,Infinity,6922.0
43,7529.4,7534.4,7537.0,0.0,Infinity,6922.0
44,7529.4,7541.933333333334,7567.0,0.0,Infinity,6922.0
45,7529.4,7545.133333333334,7576.6,0.0,Infinity,6922.0
46,7529.4,7530.933333333334,7534.0,0.0,Infinity,6922.0
