gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7440.8,7749.0599999999995,7749.9,7599.213333333333,7898.88,6922.0
1,7431.2,7734.530000000001,7733.0,7593.633333333333,7880.1933333333345,6922.0
2,7398.4,7707.840000000001,7708.3,7570.466666666667,7848.333333333333,6922.0
3,7391.8,7679.307999999999,7683.5,7542.146666666666,7813.306666666668,6922.0
4,7367.4,7652.325999999999,7652.3,7519.199999999999,7785.513333333333,6922.0
5,7356.2,7631.452,7635.8,7501.566666666666,7758.42,6922.0
6,7349.6,7609.053999999999,7616.4,7479.386666666665,7736.3133333333335,6922.0
7,7335.4,7590.248000000001,7602.4,7459.173333333334,7714.106666666667,6922.0
8,7322.0,7559.558000000002,7564.3,7436.2666666666655,7683.146666666667,6922.0
9,7321.8,7533.49,7536.0,7411.733333333332,7656.653333333333,6922.0
10,7315.2,7509.528,7504.7,7399.406666666665,7629.18,6922.0
11,7311.8,7482.747999999998,7468.9,7385.633333333333,7596.713333333333,6922.0
12,7308.2,7455.976,7450.2,7367.74,7551.613333333335,6922.0
13,7306.0,7435.536,7437.5,7351.360000000001,7523.0666666666675,6922.0
14,7304.2,7411.960000000001,7410.1,7345.166666666666,7487.699999999999,6922.0
15,7304.2,7395.981999999998,7389.9,7340.033333333333,7460.253333333332,6922.0
16,7302.0,7383.103999999997,7377.2,7332.893333333332,7442.446666666668,6922.0
17,7290.4,7377.651999999999,7374.2,7326.779999999999,7434.966666666669,6922.0
18,7290.4,7366.856,7365.6,7323.92,7415.386666666667,6922.0
19,7288.0,7360.890000000001,7348.7,7320.4333333333325,7411.920000000001,6922.0
20,7281.2,7355.850000000001,7347.3,7319.046666666664,7399.5666666666675,6922.0
21,7279.8,7349.170000000001,7344.0,7315.3066666666655,7389.933333333334,6922.0
22,7275.4,7344.966000000002,7339.4,7311.419999999998,7386.746666666668,6922.0
23,7275.4,7339.514000000001,7333.9,7307.013333333333,7377.006666666668,6922.0
24,7272.4,7332.531999999999,7328.8,7305.6,7366.500000000002,6922.0
25,7272.0,7327.2019999999975,7320.2,7302.819999999998,7359.4,6922.0
