gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7575.4,7741.120000000001,7777.4,7628.2666666666655,7850.800000000001,6922.0
1,7537.6,7691.180000000002,7709.7,7581.666666666667,7812.133333333334,6922.0
2,7523.4,7664.719999999999,7697.9,7562.266666666667,7770.0,6922.0
3,7516.8,7609.959999999999,7615.0,7539.0666666666675,7692.866666666667,6922.0
4,7497.0,7584.1799999999985,7574.1,7508.266666666667,7691.533333333335,6922.0
5,7496.4,7553.220000000001,7558.0,7499.266666666667,7620.666666666666,6922.0
6,7496.4,7535.8,7518.0,7500.066666666666,7604.0666666666675,6922.0
7,7487.2,7513.3,7505.2,7496.533333333333,7541.933333333334,6922.0
8,7486.8,7504.7,7497.8,7491.2,7527.8,6922.0
9,7484.4,7510.7,7497.3,7486.0,7555.9333333333325,6922.0
10,7477.0,7505.280000000001,7501.1,7484.333333333333,7538.533333333333,6922.0
11,7466.0,7499.92,7490.0,7468.2666666666655,7553.466666666665,6922.0
12,7462.2,7495.459999999999,7493.2,7465.0,7544.5999999999985,6922.0
13,7457.2,7490.460000000001,7479.9,7460.533333333335,7543.7333333333345,6922.0
14,7457.2,7471.5,7464.7,7457.2,7499.733333333333,6922.0
15,7448.0,7469.139999999999,7460.8,7454.2666666666655,7497.2666666666655,6922.0
16,7437.4,7456.92,7454.7,7444.466666666665,7474.266666666667,6922.0
17,7419.8,7444.8,7437.4,7430.466666666667,7469.0,6922.0
18,7404.4,7438.719999999999,7423.4,7416.8,7481.333333333333,6922.0
19,7394.6,7430.159999999999,7424.7,7406.2666666666655,7462.466666666667,6922.0
20,7389.4,7445.4,7449.3,7398.333333333333,7508.933333333334,6922.0
21,7389.4,7436.58,7426.7,7396.8,7500.733333333332,6922.0
22,7389.4,7434.9800000000005,7435.0,7394.2,7489.533333333333,6922.0
23,7387.2,7439.979999999999,7433.5,7395.866666666666,7505.666666666667,6922.0
24,7379.6,7434.520000000001,7424.4,7395.733333333332,7489.333333333334,6922.0
25,7361.4,7424.659999999999,7429.6,7380.2,7477.2,6922.0
26,7361.4,7395.319999999998,7388.6,7372.266666666667,7430.9333333333325,6922.0
27,7360.2,7393.62,7397.4,7361.066666666666,7439.933333333332,6922.0
28,7355.4,7403.5999999999985,7397.9,7359.933333333334,7471.0666666666675,6922.0
29,7353.0,7387.620000000001,7384.5,7357.4,7429.533333333333,6922.0
30,7349.8,7382.420000000001,7374.7,7354.666666666666,7428.266666666667,6922.0
31,7345.0,7380.76,7391.0,7353.666666666666,7405.266666666667,6922.0
32,7342.6,7383.88,7377.7,7347.8,7438.799999999998,6922.0
33,7342.6,7386.719999999999,7395.9,7345.4,7438.466666666667,6922.0
34,7333.2,7373.039999999999,7372.5,7340.2,7421.333333333333,6922.0
35,7328.2,7368.199999999999,7361.5,7334.666666666666,7415.466666666665,6922.0
36,7328.2,7351.58,7353.8,7329.866666666666,7378.533333333335,6922.0
37,7327.0,7357.719999999999,7352.2,7327.8,7408.9333333333325,6922.0
38,7318.8,7346.5599999999995,7331.1,7324.2,7392.2666666666655,6922.0
39,7311.2,7334.339999999999,7327.3,7317.866666666666,7361.4,6922.0
40,7311.2,7339.460000000001,7342.4,7313.133333333334,7373.2666666666655,6922.0
41,7305.8,7337.0,7327.7,7309.4,7383.933333333332,6922.0
42,7304.4,7330.639999999999,7317.7,7306.466666666665,7373.5999999999985,6922.0
43,7297.6,7328.42,7321.8,7304.066666666666,7367.200000000002,6922.0
44,7294.6,7334.399999999999,7326.3,7299.666666666667,7386.866666666666,6922.0
45,7294.6,7333.0,7324.6,7296.8,7394.000000000002,6922.0
46,7293.8,7324.12,7315.1,7296.0,7365.0,6922.0
47,7293.0,7319.959999999999,7313.4,7295.733333333333,7357.266666666667,6922.0
