gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7282.6,7759.648239999922,7758.8,7616.457733333364,7903.821466666659,6922.0
1,7269.6,7746.813279999947,7746.0,7604.5167333333375,7890.19659999999,6922.0
2,7249.2,7729.181039999989,7728.0,7588.544933333335,7871.315000000012,6922.0
3,7239.6,7712.923720000008,7711.6,7573.692266666658,7854.00073333334,6922.0
4,7227.4,7699.947400000043,7698.5,7562.584799999991,7839.059266666671,6922.0
5,7222.6,7688.783260000098,7687.2,7552.3434666666535,7827.440266666667,6922.0
6,7207.2,7680.580280000102,7678.6,7544.669666666659,7818.75273333334,6922.0
7,7198.8,7673.225380000132,7671.0,7537.779533333347,7811.114066666671,6922.0
8,7194.2,7666.048080000134,7664.1,7530.979466666686,7803.814266666663,6922.0
9,7194.0,7661.569100000136,7659.2,7526.160933333353,7799.663733333329,6922.0
10,7184.2,7655.994120000165,7654.2,7520.65773333335,7793.746199999994,6922.0
11,7169.6,7650.56288000017,7648.0,7514.479733333355,7789.408333333321,6922.0
12,7169.4,7646.203140000172,7643.8,7510.541733333344,7784.742666666665,6922.0
13,7159.6,7641.373920000161,7638.9,7505.022533333344,7780.434066666663,6922.0
14,7155.0,7637.76066000016,7635.4,7501.843266666675,7776.662999999988,6922.0
15,7145.8,7632.902560000165,7630.8,7496.726333333349,7771.628999999992,6922.0
16,7143.4,7628.97610000018,7627.0,7492.617133333348,7767.954933333329,6922.0
17,7130.8,7623.8491800001675,7622.4,7486.592800000023,7762.954533333323,6922.0
18,7130.6,7618.8955800001595,7616.4,7482.474600000011,7758.228533333318,6922.0
19,7125.8,7615.741120000134,7613.8,7479.4135333333525,7754.6583333333165,6922.0
20,7123.6,7611.668700000146,7609.0,7475.1988666666775,7750.643599999983,6922.0
21,7123.6,7608.422020000146,7605.8,7471.865866666691,7747.747933333323,6922.0
22,7114.0,7605.008760000145,7603.2,7468.514866666666,7743.816266666663,6922.0
23,7108.8,7600.301180000131,7598.2,7463.676333333339,7739.374066666661,6922.0
24,7107.2,7596.5878800001465,7594.1,7460.669399999999,7735.548266666653,6922.0
25,7104.6,7594.4243600001355,7591.6,7457.882333333322,7734.161333333332,6922.0
26,7100.0,7589.937960000132,7587.4,7453.833866666659,7729.033600000005,6922.0
27,7100.0,7587.968960000134,7585.6,7451.725266666656,7727.528933333333,6922.0
28,7092.8,7584.321640000114,7582.2,7448.343066666656,7722.58466666666,6922.0
29,7089.8,7581.416060000125,7578.6,7446.612399999979,7719.289200000005,6922.0
30,7088.8,7578.414600000144,7576.0,7443.277666666657,7716.214133333333,6922.0
31,7087.0,7574.241600000132,7571.9,7439.359399999996,7711.824466666672,6922.0
32,7086.2,7572.042360000125,7569.6,7437.78493333332,7709.426000000004,6922.0
33,7086.2,7569.454860000132,7566.6,7435.589133333313,7706.293200000002,6922.0
34,7086.2,7566.575860000118,7564.6,7431.994066666647,7703.823266666674,6922.0
35,7082.8,7563.423180000112,7560.2,7429.77426666665,7700.43220000001,6922.0
36,7082.8,7560.634420000126,7558.2,7427.652733333312,7696.525066666673,6922.0
37,7075.6,7557.895580000106,7556.0,7424.161733333325,7694.306733333336,6922.0
38,7075.6,7556.355680000117,7553.8,7422.612999999978,7693.075133333337,6922.0
39,7073.2,7553.504620000112,7550.9,7419.597466666661,7690.809400000007,6922.0
40,7072.2,7551.51340000011,7549.4,7417.2184666666635,7688.955399999999,6922.0
41,7071.2,7549.775280000108,7547.4,7415.547199999998,7687.416333333333,6922.0
42,7071.2,7547.081560000099,7544.0,7413.697599999988,7683.728000000005,6922.0
43,7071.2,7544.79772000008,7542.0,7410.939133333329,7682.397333333336,6922.0
44,7071.2,7542.548700000074,7539.8,7408.3598666666485,7680.51546666668,6922.0
45,7069.4,7540.238200000078,7537.4,7406.700333333321,7677.480133333328,6922.0
46,7069.4,7537.992540000104,7534.8,7405.090666666647,7674.906066666673,6922.0
47,7069.4,7535.230780000116,7531.6,7402.285799999976,7672.262266666677,6922.0
48,7069.4,7532.410820000105,7529.2,7399.312999999997,7669.316866666666,6922.0
49,7069.4,7531.367780000076,7528.1,7397.890799999999,7668.9091333333345,6922.0
50,7069.2,7529.778380000071,7526.2,7396.7590000000155,7666.911333333332,6922.0
51,7069.0,7527.461340000065,7524.4,7394.232066666661,7664.385133333334,6922.0
52,7069.0,7525.535300000079,7522.6,7391.682400000005,7663.229133333332,6922.0
53,7069.0,7522.556920000087,7519.5,7389.14546666666,7660.018733333325,6922.0
54,7068.8,7520.733640000077,7516.8,7387.383133333338,7658.854266666656,6922.0
55,7068.8,7519.460840000065,7515.8,7385.544733333336,7658.23106666667,6922.0
56,7067.4,7515.609480000079,7512.6,7381.197733333325,7654.179133333326,6922.0
57,7067.2,7513.9617000000635,7510.6,7380.230800000008,7651.8263333333325,6922.0
58,7066.8,7510.998000000062,7507.4,7378.220933333352,7648.110600000002,6922.0
59,7066.6,7508.250920000067,7503.8,7376.048066666677,7645.294600000003,6922.0
60,7065.8,7506.197020000062,7501.8,7373.170400000007,7644.01693333334,6922.0
61,7060.8,7502.764660000064,7498.6,7369.616466666662,7640.697866666679,6922.0
62,7060.8,7501.026720000053,7497.2,7367.511600000007,7639.1142666666765,6922.0
63,7060.8,7498.088560000052,7494.2,7364.257800000011,7636.919200000006,6922.0
64,7060.4,7494.910580000042,7490.8,7361.429466666666,7633.20600000001,6922.0
65,7060.4,7492.196260000046,7488.6,7358.87160000001,7630.79313333334,6922.0
66,7060.4,7488.910020000045,7484.8,7355.576733333332,7627.169733333338,6922.0
67,7058.0,7485.49774000005,7481.4,7351.742733333345,7624.437600000007,6922.0
68,7058.0,7482.984900000045,7478.4,7350.030533333343,7621.034666666657,6922.0
69,7052.2,7480.679000000045,7475.8,7347.126399999994,7619.6416666666655,6922.0
70,7049.8,7477.812900000038,7473.6,7344.354666666671,7616.4415999999865,6922.0
71,7049.8,7475.204180000037,7470.4,7340.578533333335,7615.319866666662,6922.0
72,7049.8,7471.928620000026,7467.4,7337.33653333333,7612.1344666666555,6922.0
73,7049.0,7469.250560000025,7464.1,7335.3354666666655,7608.943666666668,6922.0
74,7049.0,7466.510860000005,7462.2,7331.621666666661,7606.8310666666675,6922.0
75,7048.4,7465.33130000001,7460.4,7330.182933333328,7606.060333333329,6922.0
76,7048.4,7463.4725400000125,7458.4,7328.306400000003,7604.651799999997,6922.0
77,7048.4,7462.016000000009,7457.8,7326.150466666657,7603.478466666666,6922.0
78,7047.4,7458.7027200000175,7454.0,7322.903133333328,7600.10526666667,6922.0
79,7044.4,7456.804840000041,7452.0,7321.1386,7598.184933333332,6922.0
80,7044.2,7453.935600000007,7449.2,7317.1610666666675,7596.779666666674,6922.0
81,7044.2,7451.426000000024,7447.0,7313.456800000002,7595.483000000002,6922.0
82,7041.0,7448.092940000022,7442.9,7310.220466666653,7591.938733333341,6922.0
83,7041.0,7446.062080000016,7441.4,7307.553933333319,7590.680533333338,6922.0
84,7041.0,7442.035499999996,7437.2,7303.829399999992,7586.1860666666635,6922.0
85,7041.0,7440.639300000003,7435.6,7301.7707333333265,7585.551933333343,6922.0
