gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7429.6,7753.992,7758.9,7608.6866666666665,7897.786666666669,6922.0
1,7402.0,7738.960000000001,7747.2,7596.4800000000005,7879.88,6922.0
2,7380.2,7728.936,7732.3,7582.926666666666,7873.5199999999995,6922.0
3,7366.8,7722.604000000001,7731.8,7574.886666666665,7867.666666666667,6922.0
4,7366.8,7721.0419999999995,7725.1,7571.38,7872.493333333332,6922.0
5,7366.8,7723.478,7723.7,7579.473333333333,7870.826666666666,6922.0
6,7365.0,7718.674000000001,7723.3,7568.113333333333,7866.3133333333335,6922.0
7,7357.0,7712.272000000002,7714.3,7568.206666666668,7858.759999999999,6922.0
8,7351.6,7716.152,7717.8,7570.913333333333,7862.9400000000005,6922.0
9,7349.0,7718.764,7722.9,7572.053333333332,7863.42,6922.0
10,7333.2,7716.678000000002,7721.3,7566.526666666667,7863.833333333334,6922.0
11,7333.2,7717.762000000001,7723.5,7568.046666666666,7865.986666666667,6922.0
12,7326.0,7714.638000000001,7718.4,7554.133333333333,7869.633333333333,6922.0
13,7306.6,7708.234000000001,7712.6,7554.5199999999995,7858.686666666666,6922.0
14,7306.4,7697.262000000001,7701.2,7541.206666666667,7847.733333333333,6922.0
15,7305.6,7705.569999999998,7706.8,7554.433333333334,7857.593333333333,6922.0
16,7304.0,7704.764000000001,7707.9,7550.186666666668,7858.6,6922.0
17,7304.0,7708.213999999998,7717.5,7557.033333333335,7852.366666666666,6922.0
18,7297.6,7700.812000000001,7705.6,7547.3466666666645,7853.5199999999995,6922.0
19,7289.4,7698.852000000001,7706.0,7535.726666666669,7857.2733333333335,6922.0
20,7285.4,7697.198000000001,7704.1,7542.246666666666,7847.246666666666,6922.0
21,7285.4,7711.160000000001,7721.8,7554.806666666666,7861.780000000001,6922.0
22,7282.6,7698.963999999998,7701.3,7547.946666666666,7848.920000000001,6922.0
23,7282.6,7703.2159999999985,7710.0,7555.2,7846.306666666666,6922.0
24,7282.6,7698.286000000002,7701.0,7544.213333333333,7853.546666666666,6922.0
25,7282.6,7707.7080000000005,7713.4,7556.553333333332,7857.993333333334,6922.0
26,7282.6,7695.566000000001,7699.8,7543.486666666667,7847.0,6922.0
27,7282.6,7697.743999999997,7700.0,7552.06,7843.12,6922.0
28,7273.6,7695.472,7705.8,7544.920000000001,7840.2266666666665,6922.0
