gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7439.6,7746.1320000000005,7748.7,7600.18,7895.499999999998,6922.0
1,7435.8,7719.2559999999985,7726.9,7577.586666666667,7855.719999999999,6922.0
2,7403.0,7698.8,7705.4,7554.086666666667,7841.573333333332,6922.0
3,7389.2,7681.538000000002,7683.3,7541.6,7820.666666666664,6922.0
4,7372.6,7657.758,7662.1,7521.68,7794.906666666667,6922.0
5,7358.2,7640.952000000002,7640.3,7505.913333333333,7776.633333333333,6922.0
6,7353.4,7615.67,7616.8,7487.333333333331,7749.353333333334,6922.0
7,7350.2,7590.212000000002,7584.1,7468.053333333332,7719.026666666667,6922.0
8,7350.2,7569.81,7571.7,7451.933333333334,7687.313333333332,6922.0
9,7343.0,7548.2119999999995,7550.9,7431.986666666666,7665.2,6922.0
10,7336.8,7529.688,7534.9,7420.2733333333335,7642.826666666666,6922.0
11,7329.8,7509.736,7500.4,7409.606666666667,7620.346666666667,6922.0
12,7320.8,7491.818000000001,7486.1,7396.1799999999985,7595.293333333333,6922.0
13,7320.0,7477.659999999999,7475.2,7380.973333333332,7582.9333333333325,6922.0
14,7317.2,7458.355999999998,7462.9,7369.353333333334,7549.046666666666,6922.0
15,7317.2,7436.733999999997,7439.6,7356.039999999998,7520.873333333334,6922.0
16,7314.2,7417.8359999999975,7407.2,7345.359999999998,7501.993333333334,6922.0
17,7312.6,7401.298,7394.0,7338.546666666666,7475.073333333334,6922.0
18,7311.6,7393.887999999999,7387.4,7336.766666666667,7465.313333333334,6922.0
19,7309.6,7381.047999999997,7368.2,7336.126666666668,7445.56,6922.0
20,7309.6,7373.765999999998,7366.6,7335.459999999999,7426.566666666666,6922.0
21,7307.8,7359.813999999996,7349.0,7331.0733333333355,7397.4400000000005,6922.0
22,7303.6,7353.417999999996,7346.0,7328.100000000001,7387.26,6922.0
23,7303.2,7348.159999999996,7341.9,7325.173333333335,7377.926666666666,6922.0
24,7290.0,7346.263999999994,7342.7,7323.42,7374.586666666667,6922.0
25,7284.8,7340.369999999997,7336.7,7319.240000000001,7365.753333333334,6922.0
26,7283.2,7336.6479999999965,7334.9,7318.373333333335,7358.866666666667,6922.0
27,7281.4,7331.245999999999,7318.6,7305.853333333334,7365.393333333335,6922.0
28,7270.6,7328.983999999997,7325.2,7301.633333333334,7360.426666666668,6922.0
29,7268.8,7320.059999999996,7319.8,7291.466666666667,7350.753333333334,6922.0
30,7266.8,7315.945999999999,7313.4,7285.039999999999,7348.833333333334,6922.0
31,7266.6,7308.619999999995,7302.4,7279.873333333332,7343.8200000000015,6922.0
32,7266.4,7308.377999999997,7301.8,7279.759999999999,7345.7733333333335,6922.0
33,7265.2,7306.225999999995,7301.0,7280.139999999999,7339.046666666666,6922.0
34,7262.2,7303.953999999995,7296.0,7279.286666666667,7336.506666666665,6922.0
35,7259.6,7299.769999999999,7295.4,7277.566666666666,7330.7666666666655,6922.0
36,7257.2,7297.049999999997,7289.8,7275.693333333334,7327.593333333333,6922.0
37,7256.8,7298.909999999998,7289.6,7279.7,7329.186666666666,6922.0
38,7256.8,7299.387999999997,7287.7,7280.5599999999995,7332.139999999999,6922.0
39,7256.6,7294.418000000001,7285.6,7279.619999999998,7319.153333333334,6922.0
40,7255.2,7293.408000000003,7286.0,7277.3466666666645,7318.859999999999,6922.0
41,7245.8,7291.388000000004,7285.6,7275.29333333333,7315.233333333332,6922.0
42,7245.8,7286.8660000000045,7285.6,7269.7599999999975,7306.206666666665,6922.0
43,7245.8,7284.926000000004,7281.2,7263.686666666666,7312.513333333333,6922.0
44,7242.0,7282.240000000003,7280.0,7262.699999999999,7307.766666666667,6922.0
45,7242.0,7277.3300000000045,7269.2,7260.826666666666,7300.526666666667,6922.0
46,7239.4,7273.582000000004,7269.0,7257.093333333333,7296.0999999999985,6922.0
47,7239.4,7268.890000000004,7262.1,7254.993333333334,7289.353333333334,6922.0
48,7235.6,7265.010000000002,7259.2,7253.0,7284.2733333333335,6922.0
49,7234.8,7264.1860000000015,7259.2,7251.4,7283.153333333334,6922.0
50,7220.6,7261.772,7259.2,7246.640000000001,7281.2266666666665,6922.0
51,7220.6,7262.944000000001,7255.0,7246.2,7288.139999999998,6922.0
52,7220.6,7259.585999999998,7252.8,7244.106666666668,7284.373333333332,6922.0
53,7219.0,7257.617999999998,7251.2,7242.8133333333335,7281.086666666667,6922.0
54,7217.6,7256.459999999999,7249.9,7239.646666666667,7281.2266666666665,6922.0
55,7217.6,7254.229999999999,7249.6,7238.486666666667,7275.286666666667,6922.0
56,7213.8,7251.763999999998,7248.8,7236.013333333333,7272.633333333333,6922.0
57,7211.4,7253.122,7248.8,7234.946666666665,7279.493333333334,6922.0
58,7211.4,7250.144000000002,7242.5,7232.82,7273.8133333333335,6922.0
59,7211.4,7249.264000000001,7242.4,7231.893333333332,7276.159999999999,6922.0
60,7211.4,7248.928000000002,7240.2,7230.459999999999,7278.466666666667,6922.0
61,7210.8,7246.572000000002,7240.2,7227.833333333333,7273.88,6922.0
62,7205.8,7244.5380000000005,7240.4,7226.94,7269.393333333332,6922.0
63,7198.8,7243.63,7240.8,7225.106666666667,7267.7666666666655,6922.0
64,7198.8,7244.392,7234.2,7223.079999999999,7279.193333333332,6922.0
65,7197.0,7238.647999999999,7234.0,7222.419999999998,7262.719999999998,6922.0
66,7196.4,7234.465999999998,7233.9,7219.866666666666,7252.026666666667,6922.0
67,7196.4,7231.129999999997,7228.2,7214.353333333333,7251.999999999998,6922.0
68,7194.0,7232.167999999998,7229.0,7212.613333333333,7257.6799999999985,6922.0
69,7194.0,7230.073999999999,7226.0,7212.4800000000005,7254.9,6922.0
70,7193.2,7228.812,7217.8,7210.639999999999,7257.6,6922.0
71,7192.8,7224.993999999997,7217.5,7206.646666666666,7252.339999999999,6922.0
72,7185.0,7224.1539999999995,7217.2,7204.146666666666,7254.0599999999995,6922.0
73,7183.6,7218.216,7215.3,7202.339999999998,7238.273333333333,6922.0
74,7183.6,7218.4220000000005,7213.6,7198.686666666666,7244.06,6922.0
75,7183.6,7210.012,7207.8,7193.319999999998,7230.453333333333,6922.0
76,7177.6,7209.540000000003,7206.2,7192.859999999999,7233.779999999999,6922.0
77,7176.8,7207.952000000003,7202.9,7191.946666666666,7231.68,6922.0
78,7176.0,7204.512,7197.0,7188.74,7229.893333333332,6922.0
79,7176.0,7199.226,7195.2,7187.9,7216.006666666665,6922.0
80,7176.0,7197.823999999998,7191.8,7187.6799999999985,7215.533333333333,6922.0
