gen,best,mean,median,top 30%,bot 30%,optimal_val
0,7412.8,7750.496000000002,7753.3,7607.446666666666,7893.973333333333,6922.0
1,7392.0,7730.573999999999,7730.7,7585.673333333334,7875.986666666667,6922.0
2,7387.8,7703.594,7704.1,7568.193333333334,7840.993333333334,6922.0
3,7376.2,7685.414000000002,7685.5,7552.653333333334,7817.706666666667,6922.0
4,7373.6,7666.5340000000015,7670.2,7534.660000000001,7796.366666666667,6922.0
5,7354.6,7648.185999999999,7650.9,7516.173333333334,7779.2,6922.0
6,7346.6,7634.706000000001,7640.1,7496.166666666667,7770.5666666666675,6922.0
7,7344.0,7623.9259999999995,7629.1,7490.573333333334,7754.740000000001,6922.0
8,7335.8,7611.545999999999,7619.0,7476.9333333333325,7742.833333333333,6922.0
9,7326.4,7586.304000000001,7588.9,7443.3133333333335,7730.126666666666,6922.0
